feature_id,feature_display,name,mz,rt,logFC,adj.P.Val,dataset
SBGBAZQAEOWGFT-UHFFFAOYSA-N,NCGC00380288-01_C21H26O5_...,"NCGC00380288-01_C21H26O5_Tricyclo[12.3.1.1~2,6~]nonadeca-1(18),2,4,6(19),14,16-hexaene-3,9,15-triol, 16,17-dimethoxy-",341.18008,5.884,-21.81601234333334,1.5362299737715237e-11,metabolomics
SYTBZMRGLBWNTM-SNVBAGLBSA-N,Flurbiprofen (Ansaid),Flurbiprofen (Ansaid),245.09816,1.995,-20.967284343333336,1.5362299737715237e-11,metabolomics
IVQOFBKHQCTVQV-UHFFFAOYSA-N,Benactyzine,Benactyzine,328.19498,2.507,-21.75041272333334,1.5362299737715237e-11,metabolomics
unk_435,C11H13NO5,C11H13NO5,238.0674,10.933,-24.22949063666667,1.5362299737715237e-11,metabolomics
UTSXERRKRAEDOV-UHFFFAOYSA-O,Amidosulfobetaine-14,Amidosulfobetaine-14,436.33612,1.384,-22.96238631333334,1.5362299737715237e-11,metabolomics
LZRMGGWCVAVBJA-UHFFFAOYSA-N,"1-(5,10-dioxo-2,3,5a,6,7,...","1-(5,10-dioxo-2,3,5a,6,7,8-hexahydro-1H-dipyrrolo[1,2-d:1',2'-f]pyrazin-10a-yl)propan-2-yl carbamate",313.18503,3.752,-21.01528183666667,1.5362299737715237e-11,metabolomics
KFNWMXLJLRPJCL-MDWZMJQESA-N,NCGC00380717-01_C27H36O7_...,"NCGC00380717-01_C27H36O7_2-Butenoic acid, 2-methyl-, 9a-(acetyloxy)-1a,1b,4,4a,5,7a,7b,8,9,9a-decahydro-7b-hydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1H-cyclopropa[3,4]benz[1,2-e]azulen-9-yl ester, (2E)-",490.2796,6.264,-22.247786306666672,2.1491424994216615e-11,metabolomics
unk_431,C12H14O3 2,C12H14O3,205.08478,1.888,-19.43761227333334,4.0986945210886575e-11,metabolomics
LATYEZNGPQKAIK-BPNOJRQNSA-N,NCGC00380749-01_C30H32O12...,"NCGC00380749-01_C30H32O12_{(1R,2S,3R,5R,6R,8S)-3-[(6-O-Benzoyl-beta-D-glucopyranosyl)oxy]-6-hydroxy-8-methyl-9,10-dioxatetracyclo[4.3.1.0~2,5~.0~3,8~]dec-2-yl}methyl benzoate",585.19598,1.477,17.991446143333338,4.6573895764573115e-11,metabolomics
RGLYKWWBQGJZGM-ISLYRVAYSA-N,Diethylstilbestrol (Stilb...,Diethylstilbestrol (Stilbestrol),269.15564,3.67,-21.526986163333337,4.6573895764573115e-11,metabolomics
MWDNWQAVYQDZQI-UHFFFAOYSA-N,"1,5,9-trihydroxy-5,7,7-tr...","1,5,9-trihydroxy-5,7,7-trimethyl-4,5a,6,8,8a,9-hexahydro-1H-azuleno[5,6-c]furan-3-one",300.17606,1.79,22.21455034000001,4.6573895764573115e-11,metabolomics
DSOITGJEUKHAJN-UHFFFAOYSA-N,NCGC00380840-01_C15H19NO3...,NCGC00380840-01_C15H19NO3_4-Methoxy-5-methyl-6-[(3-methyl-2-buten-1-yl)oxy]-1-isoindolinone,262.14502,3.138,17.456620496666673,4.715339765876378e-11,metabolomics
HCEPYGIKCDFDPJ-UHFFFAOYSA-N,"(3,5,14-trihydroxy-13-met...","(3,5,14-trihydroxy-13-methyl-17-(5-oxo-2,5-dihydrofuran-3-yl)hexadecahydro-1H-cyclopenta[a]phenanthren-10-yl)methyl nitrate",474.20874,6.357,21.761060776666664,5.0536482931119895e-11,metabolomics
LLMCZIBSELEBMK-UKHOTDCGSA-N,sibiricaxanthone B,sibiricaxanthone B,561.12042,2.686,18.31375190333334,6.045177973038865e-11,metabolomics
KCHWSMAUPIEZAW-UHFFFAOYSA-N,legonoxamine C,legonoxamine C,351.18665,6.132,-18.602946630000005,6.045177973038865e-11,metabolomics
PMISPNORJONCHB-DKBZVKCESA-N,Deacetoxy-7-Oxogedunin,Deacetoxy-7-Oxogedunin,477.16122,2.877,-19.77778275666667,6.045177973038865e-11,metabolomics
SLPLDSCDXZUEAM-PEZBUJJGSA-N,octylphenazolone,octylphenazolone,286.18497,3.678,-18.941515360000004,6.045177973038865e-11,metabolomics
RHAXSHUQNIEUEY-UHFFFAOYSA-N,Mepirizole,Mepirizole,235.11543,5.958,-19.718348103333337,6.045177973038865e-11,metabolomics
IMABPJDBODVJSN-HKZMUHMQSA-N,NCGC00386061-01_C29H37NO5...,"NCGC00386061-01_C29H37NO5_4bH-1-Benzopyrano[5',6':6,7]indeno[1,2-b]indole-3,4b-diol, 2,3,5,6,6a,7,12,12b,12c,13,14,14a-dodecahydro-2-(1-hydroxy-1-methylethyl)-12b,12c-dimethyl-, 3-acetate, (2S,3R,4bS,6aS,12bS,12cR,14aS)-",480.27063,1.44,20.599023766666672,6.045177973038865e-11,metabolomics
DQWIIKBKAIPUPY-UHFFFAOYSA-N,N4-Acetylsulfadimethoxine,N4-Acetylsulfadimethoxine,353.08646,1.685,22.421155560000003,6.084867516686035e-11,metabolomics
LBSHKCUTMCYUOW-UHFFFAOYSA-N,OCP_239.0946_17.0,OCP_239.0946_17.0,239.09549,2.565,-21.586666670000003,6.084867516686035e-11,metabolomics
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,Arbutin,Arbutin,295.07703,2.318,17.37587629,6.749719194246255e-11,metabolomics
RIUPLDUFZCXCHM-UHFFFAOYSA-N,Urolithin A,Urolithin A,229.04929,1.259,19.018313966666664,7.483397520102796e-11,metabolomics
MUGQOWYFWURKCM-UHFFFAOYSA-N,"3,5-dihydroxy-7-methoxy-6...","3,5-dihydroxy-7-methoxy-6-methyl-1-oxo-3H-2-benzofuran-4-carboxylic acid",293.0094,2.391,18.470766696666672,7.947463263932748e-11,metabolomics
KLAFICXHZAHAGT-UHFFFAOYSA-N,"2,2-dimethyl-8-(phenylthi...","2,2-dimethyl-8-(phenylthio)-4H-benzo[d][1,3]dioxin-4-one",287.07788,2.215,20.33758956666667,9.559937076531744e-11,metabolomics
LZFZMUMEGBBDTC-QEJZJMRPSA-N,Enalaprilat,Enalaprilat,349.17365,3.205,17.924990513333338,9.559937076531744e-11,metabolomics
DFGYGTWTXGTQIC-UHFFFAOYSA-N,NCGC00381056-01_C22H33NO6...,"NCGC00381056-01_C22H33NO6_Valine, N-acetyl-, 1,3,5,5a,6,7,8,9,9a,9b-decahydro-9b-hydroxy-6,6,9a-trimethyl-3-oxonaphtho[1,2-c]furan-9-yl ester",430.21979,3.375,-18.953968873333334,1.2178991504696539e-10,metabolomics
NWBWCXBPKTTZNQ-GZGPSRNVSA-N,Lappaconitine 1,Lappaconitine,585.31696,1.47,19.779041840000005,1.2178991504696539e-10,metabolomics
CFFZDZCDUFSOFZ-UHFFFAOYSA-N,"""3,4-DIHYDROXYPHENYLACETATE""","""3,4-DIHYDROXYPHENYLACETATE""",191.03094,8.45,18.940905153333336,1.2623904016199103e-10,metabolomics
