feature_id,feature_display,name,mz,rt,logFC,adj.P.Val,dataset
FOCCPGVCDPXOQU-UHFFFAOYSA-N,ASG 27:1 #1,ASG 27:1 [m/z 720.5721 rt 11.00],720.57214,11.004,18.331196273333333,1.2446414412618452e-12,lipidomics
DQSNHPURJCJJHP-UHFFFAOYSA-N,Cer 39:7 #1,Cer 39:7 [m/z 594.4932 rt 6.46],594.49323,6.463,-15.372795500000004,1.2446414412618452e-12,lipidomics
HPQLLEUHJABHAT-UHFFFAOYSA-N,TG 48:6,TG 48:6 [m/z 812.6733 rt 13.00],812.67328,12.998,19.42996293333334,1.2446414412618452e-12,lipidomics
WVFKVVMFPWNGTF-UHFFFAOYSA-N,DMPE 23:4,DMPE 23:4,586.35913,1.589,12.977061110000005,1.2446414412618452e-12,lipidomics
HGSPQILWXKKSTL-UHFFFAOYSA-N,PC 33:0 #1,PC 33:0 [m/z 870.5705 rt 10.25],870.5705,10.251,18.305057853333334,1.2446414412618452e-12,lipidomics
RQOAXJCFCLBGQY-UHFFFAOYSA-N,SL 40:3,SL 40:3,682.54614,6.187,-15.339822370000002,1.2446414412618452e-12,lipidomics
PNBRKOMDSXOOPV-UHFFFAOYSA-N,Cer 37:7 #2,Cer 37:7 [m/z 550.4674 rt 6.62],550.46741,6.62,-15.115393996666668,2.7131243998418665e-12,lipidomics
UBVQDNKLUZAWHW-UHFFFAOYSA-N,NAGly 33:9,NAGly 33:9,583.40985,4.339,-13.644214560000004,9.285589637675332e-12,lipidomics
PRRQEXFFGUUISM-UHFFFAOYSA-N,BMP 27:5,BMP 27:5,660.38263,1.204,-13.333731823333334,1.796859676812252e-11,lipidomics
IAWCVRHKHHYAHD-UHFFFAOYSA-N,BA 24:1 #70,BA 24:1 [m/z 793.5538 rt 9.49],793.55377,9.495,16.400234643333334,2.004100103449082e-11,lipidomics
